Title,Image URL,Brand,Category,modello,versione,canone_mensile,sku,Link,Post Type,_wp_page_template,durata_mesi,anticipo,km_annui,cambio,combustibile,_edit_last,tempo_consegna,slug_id,_thumbnail_id,promo_settings_tab,promo_settings,prezzo_giornalero_breve,km_giornalero_breve,prezzo_settimanale_breve,km_settimanale_breve,prezzo_mensile_breve,km_mensile_breve,cauzione_breve,costo_chilometro_breve,promo,breve,_wp_old_slug,_wp_attached_file,_wp_attachment_metadata,_wp_trash_meta_status,_wp_trash_meta_time,_wp_desired_post_slug
TOYOTA Aygo X,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/TOYOTA-AYGO-X-158.avif,TOYOTA,City Car,Aygo X,Aygo X 1.5 Hybrid 115 CV 5 porte,272,TOYOTA-AYGO-X-158,https://mirkod40.sg-host.com/noleggiolungotermine/toyota-aygo-x/,noleggiolungotermine,default,48,1780,10000,manuale,Ibrida,1,garanzia_mobilita,TOYOTA-AYGO-X-158,1719,,,,,,,,,,,,,,,,,,
VOLKSWAGEN T-ROC 1.5,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/VOLKSWAGEN_T20Rock.png,VOLKSWAGEN,SUV / Crossover,T Roc,1.5 eTSI ACT DSG Life,436,VOLKSWAGEN-T-ROC-102,https://mirkod40.sg-host.com/noleggiolungotermine/volkswagen-t-roc/,noleggiolungotermine,default,48,2860,30000,automatico,Benzina,1,garanzia_mobilita,VOLKSWAGEN-T-ROC-102,1741,,,50,100,325,700,1000,2000,,,false,true,,,,,,
FORD Puma,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/FORD-PUMA-30.png,FORD,Veicoli commerciali,Puma,Puma 1.0 EcoBoost Hybrid 125 CV S&amp;S ST-Line,425,FORD-PUMA-30,https://mirkod40.sg-host.com/noleggiolungotermine/ford-puma/,noleggiolungotermine,default,48,2560,30000,manuale,Diesel,1,garanzia_mobilita,FORD Puma,1713,,,,,,,,,,,,,,,,,,
TOYOTA YARIS CROSS,,TOYOTA,SUV / Crossover,YARIS CROSS,Yaris Cross 1.5 Hybrid 5p. E-CVT Active,370,TOYOTA-YARIS-CROSS-171,https://mirkod40.sg-host.com/noleggiolungotermine/toyota-yaris-cross/,noleggiolungotermine,default,48,2430,20000,automatico,Ibrida,1,garanzia_mobilita,TOYOTA-YARIS-CROSS-171,,,,,,,,,,,,,,,,,,,
OPEL Frontera,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/OPEL_Frontera-3.png,OPEL,SUV / Crossover,Frontera,Hybrid 100 Cv Edct,369,OPEL-FRONTERA-137,https://mirkod40.sg-host.com/noleggiolungotermine/opel-frontera/,noleggiolungotermine,default,48,2220,20000,automatico,Ibrida,1,garanzia_mobilita,OPEL Frontera,1733,,,,,,,,,,,,,,,,,,
FORD Transit Courier,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/FORD-Transit-COURIER-160.png,FORD,Veicoli commerciali,Transit Courier,Transit Courier 1.0 EcoBoost 100CV Van Trend,386,FORD-Transit-COURIER-160,https://mirkod40.sg-host.com/noleggiolungotermine/ford-tourneo-courier/,noleggiolungotermine,default,48,2130,20000,manuale,Benzina,1,garanzia_mobilita,FORD Transit Courier,1711,,,,,,,,,,,,,,,,,,
TOYOTA C-HR,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/TOYOTA-C-HR-121.avif,TOYOTA,SUV / Crossover,C-HR,C-HR 1.8 HV Active,468,TOYOTA-C-HR-121,https://mirkod40.sg-host.com/noleggiolungotermine/toyota-c-hr/,noleggiolungotermine,default,48,3000,30000,automatico,Ibrida,1,garanzia_mobilita,,1717,,,,,,,,,,,,,,,,,,
VOLKSWAGEN Golf,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/VOLKSWAGEN_Golf-3.png,VOLKSWAGEN,Berlina,Golf,Golf 1.5 eTSI 115 CV DSG Life,475,VOLKSWAGEN-GOLF-103,https://mirkod40.sg-host.com/noleggiolungotermine/volkswagen-golf/,noleggiolungotermine,default,48,2900,30000,automatico,Ibrida,1,garanzia_mobilita,VOLKSWAGEN-Golf,1739,,,,,,,,,,,,,,,,,,
CITROEN Berlingo,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/CITROEN_Berlingo-.png,CITROEN,Veicoli commerciali,Berlingo,Bluehdi 100 S&amp;s Van M,420,CITROEN-BERLINGO-22,https://mirkod40.sg-host.com/noleggiolungotermine/citroen-berlingo/,noleggiolungotermine,default,48,2370,20000,automatico,Diesel,1,garanzia_mobilita,CITROEN-BERLINGO-22,1697,,,,,,,,,,,,,,,,,,
AUDI Q3 SPB,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/Q3-SPB-TFSI-110-kW-mHEV-S-tronic-Business-1.png,AUDI,SUV / Crossover,Q3 SPB,35 Tdi S Tronic Business Plus,546,AUDI-Q3-SPB-131,https://mirkod40.sg-host.com/noleggiolungotermine/audi-q3-spb/,noleggiolungotermine,default,48,3740,30000,automatico,Ibrida,1,garanzia_mobilita,AUDI-Q3-SPB-131,1679,,,,,,,,,,,,,,,,,,
SKODA Kodiaq,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/SKODA-KODIAQ-48.avif,SKODA,SUV / Crossover,Kodiaq,Kodiaq 1.5 TSI Hybrid DSG 7 posti Executive,514,SKODA-KODIAQ-48,https://mirkod40.sg-host.com/noleggiolungotermine/skoda-kodiaq/,noleggiolungotermine,default,48,3500,30000,automatico,Ibrida,1,garanzia_mobilita,SKODA-KODIAQ-48,1748,,,,,,,,,,,,,,,,,,
SKODA Karoq,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/SKODA_Karoq-3.png,SKODA,SUV / Crossover,Karoq,Karoq 2.0 TDI SCR DSG Executive,679,SKODA-KAROQ-152,https://mirkod40.sg-host.com/noleggiolungotermine/skoda-karoq/,noleggiolungotermine,default,48,3280,30000,automatico,Diesel,1,garanzia_mobilita,SKODA-KAROQ-152,1749,,,,,,,,,,,,,,,,,,
AUDI A3,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/A3-SPB-TDI-110-kW-S-tronic-Business.png,AUDI,Berlina,A3,A3 SPB TDI 110 kW S tronic Business ,477,AUDI-A3-154,https://mirkod40.sg-host.com/noleggiolungotermine/audi-a3/,noleggiolungotermine,default,48,3250,20000,automatico,Diesel,1,garanzia_mobilita,,1680,,,,,,,,,,,,,,,,,,
FORD Transit Custom,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/FORD-TRANSIT-CUSTOM-21.png,FORD,Veicoli commerciali,Transit Custom,320 2.0 Ecoblue 136cv Pc Furgone Trend,472,FORD-TRANSIT-CUSTOM-21,https://mirkod40.sg-host.com/noleggiolungotermine/ford-transit-custom/,noleggiolungotermine,default,48,3780,20000,manuale,Diesel,1,garanzia_mobilita,FORD Transit Custom,1710,,,,,,,,,,,,,,,,,,
VOLKSWAGEN Passat,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/VOLKSWAGEN_Passat-3.png,VOLKSWAGEN,Station Wagon,Passat,Passat 2.0 TDI 122 CV SCR DSG Business,760,VOLKSWAGEN-PASSAT-101,https://mirkod40.sg-host.com/noleggiolungotermine/volkswagen-passat/,noleggiolungotermine,default,48,4040,30000,automatico,Diesel,1,garanzia_mobilita,VOLKSWAGEN-Passat,1738,,,,,,,,,,,,,,,,,,
AUDI Q3,https://mirkod40.sg-host.com/wp-content/uploads/2025/11/Q3-TDI-110-kW-S-tronic-Business.png,AUDI,SUV / Crossover,Q3,Tdi 110 Kw S Tronic Business,582,AUDI-Q3-3,https://mirkod40.sg-host.com/noleggiolungotermine/audi-q3/,noleggiolungotermine,default,48,3700,40000,automatico,Diesel,1,garanzia_mobilita,,1681,,,,,,,,,,,Si,false,,,,,,
